City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,novoagansk,61.9449,76.6625,263.81,99,83,1.14,RU,1667743828
152,belmonte,-15.8631,-38.8828,298.05,67,100,5.4,BR,1667743828
153,kindu,-2.95,25.95,296.38,86,100,0.82,CD,1667743829
154,san cristobal,7.7669,-72.225,297.25,66,84,2.29,VE,1667743829
155,matagami,49.7502,-77.6328,282.68,74,100,8.51,CA,1667743830
156,kropotkin,45.4375,40.5756,280.53,58,5,6.02,RU,1667743831
157,ilulissat,69.2167,-51.1,256.62,96,65,2.5,GL,1667743831
158,komsomolskiy,40.4272,71.7189,286.55,76,100,1.03,UZ,1667743832
159,kargasok,59.0556,80.8572,269.62,99,100,1.14,RU,1667743832
160,khatanga,71.9667,102.5,244.18,99,57,2.21,RU,1667743833
161,yellowknife,62.456,-114.3525,250.68,83,20,3.58,CA,1667743561
162,moba,33.2288,105.0179,282.61,75,100,0.98,CN,1667743834
163,thompson,55.7435,-97.8558,269.55,96,100,4.02,CA,1667743557
164,manaure,11.7751,-72.4445,299.64,76,99,1.49,CO,1667743835
165,abrego,8.0807,-73.2205,294.17,75,83,0.97,CO,1667743835
166,manthani,18.65,79.6667,296.64,64,90,0.93,IN,1667743836
167,bonthe,7.5264,-12.505,302.26,66,68,3.2,SL,1667743799
168,nome,64.5011,-165.4064,273.19,86,100,11.32,US,1667743765
169,flinders,-34.5833,150.8552,290.58,80,99,3.13,AU,1667743837
170,port elizabeth,-33.918,25.5701,299.87,73,40,3.13,ZA,1667743838
171,port blair,11.6667,92.75,300.62,72,100,5.24,IN,1667743838
172,naze,28.3667,129.4833,293.19,64,99,2.38,JP,1667743839
173,ostrovnoy,68.0531,39.5131,273.19,85,100,9.4,RU,1667743839
174,takoradi,4.8845,-1.7554,301.55,70,92,3.46,GH,1667743839
175,tulagi,-9.0996,160.1476,301.27,71,49,1.67,SB,1667743840
176,almaznyy,48.0448,40.045,276.42,66,91,2.95,RU,1667743840
177,laramie,41.3114,-105.5911,271.78,59,100,11.32,US,1667743617
178,saint george,37.1041,-113.5841,279.48,62,0,0.0,US,1667743841
179,mahebourg,-20.4081,57.7,297.73,70,23,4.09,MU,1667743585
180,asau,46.4333,26.4,284.66,93,100,1.8,RO,1667743842
181,grand bank,47.0999,-55.765,285.15,87,100,2.73,CA,1667743842
182,rawson,-43.3002,-65.1023,302.26,23,0,6.14,AR,1667743842
183,zinapecuaro,19.8667,-100.8167,285.88,74,0,0.44,MX,1667743843
184,caluquembe,-13.7833,14.6833,299.98,31,44,2.06,AO,1667743843
185,kampong cham,11.9934,105.4635,297.06,89,85,2.38,KH,1667743844
186,fortuna,40.5982,-124.1573,280.34,93,29,3.13,US,1667743844
187,nishihara,26.1842,127.7558,294.75,73,40,5.14,JP,1667743844
188,petropavlovsk-kamchatskiy,53.0452,158.6483,274.68,91,100,3.02,RU,1667743845
189,saskylakh,71.9167,114.0833,241.65,100,35,1.36,RU,1667743845
190,jinchang,38.4953,102.1739,279.34,32,12,1.88,CN,1667743846
191,huarmey,-10.0681,-78.1522,292.12,76,34,2.89,PE,1667743846
192,edd,13.9297,41.6925,303.97,58,14,7.7,ER,1667743846
193,itoigawa,37.0333,137.85,284.4,69,11,2.61,JP,1667743847
194,madimba,-10.4,40.3333,300.71,62,16,5.08,TZ,1667743847
195,kamen-rybolov,44.7481,132.0403,273.95,55,13,3.65,RU,1667743848
196,emerald,-23.5333,148.1667,291.67,69,1,6.43,AU,1667743848
197,dolores,-36.3132,-57.6792,296.14,38,6,7.16,AR,1667743849
198,tingo maria,-9.2895,-76.0088,296.77,78,97,0.13,PE,1667743849
199,mogadishu,2.0371,45.3438,299.52,76,54,4.5,SO,1667743646
200,garowe,8.4054,48.4845,304.02,30,15,0.46,SO,1667743850
201,aksu,41.1231,80.2644,284.0,32,100,1.45,CN,1667743850
202,maidstone,51.2667,0.5167,287.1,77,100,2.68,GB,1667743851
203,katsuura,35.1333,140.3,288.6,68,11,3.75,JP,1667743851
204,les cayes,18.2,-73.75,299.84,71,0,0.87,HT,1667743852
205,aqtobe,50.2797,57.2072,272.2,93,100,3.0,KZ,1667743554
206,aquiraz,-3.9014,-38.3911,303.2,61,99,6.26,BR,1667743852
207,osoyoos,49.0331,-119.4524,272.54,72,100,1.44,CA,1667743852
208,necochea,-38.5473,-58.7368,295.46,45,99,6.72,AR,1667743853
209,sao domingos,-13.3983,-46.3183,302.38,42,99,2.17,BR,1667743853
210,riyadh,24.6877,46.7219,305.23,20,3,3.7,SA,1667743632
211,doha,25.2867,51.5333,302.32,58,0,4.12,QA,1667743714
212,saldanha,-33.0117,17.9442,292.71,73,43,6.13,ZA,1667743854
213,tete,-16.1564,33.5867,305.71,42,94,3.29,MZ,1667743855
214,bonavista,48.6499,-53.1147,278.38,72,99,2.87,CA,1667743855
215,vostok,46.4856,135.8833,267.77,70,6,2.39,RU,1667743855
216,victoria,22.2855,114.1577,295.0,87,95,2.68,HK,1667743716
217,fairbanks,64.8378,-147.7164,256.65,84,0,1.54,US,1667743855
218,deputatskiy,69.3,139.9,252.63,92,100,7.81,RU,1667743856
219,tasiilaq,65.6145,-37.6368,271.24,91,100,1.78,GL,1667743857
220,mangaratiba,-22.9597,-44.0406,293.71,71,24,2.49,BR,1667743857
221,bato,13.3528,123.3677,298.04,93,78,1.38,PH,1667743858
222,sangar,63.9242,127.4739,243.58,99,100,1.49,RU,1667743858
223,nikolskoye,59.7035,30.7861,275.09,96,100,3.6,RU,1667743859
224,tessalit,20.1986,1.0114,304.71,10,0,3.83,ML,1667743859
225,los llanos de aridane,28.6585,-17.9182,296.01,74,75,4.47,ES,1667743563
226,saint-joseph,-21.3667,55.6167,297.36,80,72,1.84,RE,1667743608
227,trincomalee,8.5711,81.2335,300.64,70,100,4.45,LK,1667743860
228,gazanjyk,39.2446,55.5154,285.35,63,100,2.79,TM,1667743686
229,rivne,50.6231,26.2274,285.41,79,100,2.08,UA,1667743861
230,codrington,-38.2667,141.9667,284.73,81,0,2.07,AU,1667743862
231,ubinskoye,55.3068,79.6802,271.34,82,100,8.88,RU,1667743862
232,karratha,-20.7377,116.8463,296.06,66,95,8.24,AU,1667743863
233,rocha,-34.4833,-54.3333,294.68,52,10,5.88,UY,1667743863
234,cam ranh,11.9214,109.1591,299.13,78,20,5.14,VN,1667743864
235,haines junction,60.7522,-137.5108,254.87,93,82,2.11,CA,1667743865
236,pilar,-9.5972,-35.9567,300.11,81,91,4.52,BR,1667743865
237,aklavik,68.2191,-135.0107,258.35,83,100,1.57,CA,1667743866
